timestamp,step,phase,cpu_util_percent,gpu_util_percent,gpu_mem_mb,gpu_power_w,host_mem_mb,disk_read_mb_s,disk_write_mb_s
2026-04-21T02:01:25.574+00:00,250,forward,100.503,88.000,145.519,298.800,1200.223,0.000,0.000
2026-04-21T02:01:25.703+00:00,250,forward,106.175,88.000,145.519,298.770,1200.223,0.000,0.000
2026-04-21T02:01:25.833+00:00,250,forward,101.318,88.000,145.519,298.630,1200.223,0.000,0.000
2026-04-21T02:01:25.961+00:00,250,forward,99.745,88.000,145.519,298.470,1200.223,0.000,0.000
2026-04-21T02:01:26.093+00:00,250,forward,101.485,88.000,146.269,298.550,1200.223,0.000,0.000
2026-04-21T02:01:26.221+00:00,250,forward,98.834,88.000,146.269,298.590,1200.223,0.000,0.000
2026-04-21T02:01:26.353+00:00,250,forward,101.378,88.000,146.269,298.400,1200.223,0.000,0.000
2026-04-21T02:01:26.482+00:00,250,forward,98.573,88.000,146.269,298.580,1200.223,0.000,2.488
2026-04-21T02:01:26.613+00:00,250,forward,101.041,88.000,220.425,298.550,1200.223,0.000,0.000
2026-04-21T02:01:26.737+00:00,250,checkpoint,98.974,55.000,143.019,285.760,1203.223,0.000,0.000
2026-04-21T02:01:26.876+00:00,250,forward,101.939,55.000,1589.342,269.960,1200.898,0.000,964.595
2026-04-21T02:01:27.006+00:00,259,backward,95.743,41.000,580.085,269.480,1201.211,0.000,0.000
2026-04-21T02:01:27.138+00:00,262,backward,107.202,100.000,1585.263,270.640,1201.086,0.000,0.000
2026-04-21T02:01:27.268+00:00,270,backward,98.763,100.000,143.019,271.040,1201.211,0.000,0.089
2026-04-21T02:01:27.398+00:00,276,forward,92.172,100.000,1585.012,271.350,1201.148,0.000,0.000
2026-04-21T02:01:27.533+00:00,280,idle,107.969,100.000,143.019,272.450,1201.148,0.000,0.000
2026-04-21T02:01:27.663+00:00,287,forward,103.378,100.000,1352.299,272.890,1201.211,0.000,0.000
2026-04-21T02:01:27.795+00:00,290,idle,100.465,100.000,143.019,272.260,1201.148,0.000,0.000
2026-04-21T02:01:27.923+00:00,298,forward,105.867,100.000,1587.189,282.640,1201.148,0.000,0.000
2026-04-21T02:01:28.054+00:00,300,idle,93.435,100.000,1585.012,299.550,1201.148,0.000,0.000
2026-04-21T02:01:28.183+00:00,309,forward,107.471,100.000,1424.057,299.090,1201.211,0.000,0.000
2026-04-21T02:01:28.315+00:00,310,idle,92.897,100.000,592.085,298.990,1201.148,0.000,0.000
2026-04-21T02:01:28.445+00:00,320,forward,98.257,100.000,143.019,298.900,1201.148,0.000,0.000
